Event #,Cell_ID,label,Tile_row,Tile_col,centroid-0,centroid-1,mean_intensity_PD-1_nuc,mean_intensity_PD-1_cell,Global_y,Global_x,mean_intensity_PD-L1_nuc,mean_intensity_PD-L1_cell,mean_intensity_CD68_nuc,mean_intensity_CD68_cell,mean_intensity_CD3_nuc,mean_intensity_CD3_cell,mean_intensity_FoxP3_nuc,mean_intensity_FoxP3_cell,mean_intensity_Iba-1_nuc,mean_intensity_Iba-1_cell,mean_intensity_CD8_nuc,mean_intensity_CD8_cell,mean_intensity_CD4_nuc,mean_intensity_CD4_cell
1,331,332,0,0,1210.432739,1681.721191,16.72115326,12.66580677,1210.432739,1681.721191,6.548077106,5.545806408,0.105769232,1.678709626,79.9807663,25.01161385,7.788461685,4.201290131,0.423076928,2.370322466,2.817307711,3.036128998,34.17307663,16.21806526
2,917,436,1,1,1797.923096,705.9615479,9.461538315,7.543520451,3845.923096,2753.961426,4.634615421,3.19342351,3.25,13.15087032,26.82692337,14.55899429,6.961538315,3.891682863,4.903846264,16.07543564,3.653846264,4.878143311,40.92307663,35.822052
3,2226,1745,1,1,1938.144775,1291.881592,6,7.294339657,3986.144775,3339.881592,2.052631617,2.788679361,6.052631378,16.04905701,46.96052551,31.320755,2.723684311,4.086792469,8.078947067,18.21509361,2.881578922,5.237735748,54.59210587,55.70188522
4,2730,2249,1,1,1818.527344,990.8424683,8.130137444,8.467054367,3866.527344,3038.842529,6.130136967,4.331395149,58.63698578,68,14.05479431,11.42054272,3.205479383,4.327519417,61.06164551,57.9418602,10.86301327,11.07558155,51.45890427,64.93410492
5,3455,2974,1,1,1930.280396,950.1682129,13.86915874,7.804627419,3978.280273,2998.168213,2.439252377,2.943444729,32.17757034,18.56426811,63.1308403,17.22107887,5.289719582,2.201799393,9.495326996,11.88946056,5.448597908,4.556555271,54.54205704,35.12467957
6,3474,2993,1,1,1930.946411,1281.636963,8.494047165,6.863328934,3978.946533,3329.636963,8.755952835,4.20297718,34.02976227,34.99729538,10.14880943,6.391068935,1.482142806,2.13802433,40.42261887,36.62110901,8.023809433,7.646820068,24.79166603,41.61975479
7,3641,41,0,1,1155.961914,901.0952148,11.04761887,9.761363983,1155.961914,2949.095215,6.209523678,6.017045498,78.85713959,49.375,14.25714302,9.806818008,6.066666603,4.974431992,27.56190491,18.55397797,9.285714149,6.735795498,29.03809547,19.89204597
8,3841,241,0,1,1614.018188,839.8181763,11.9272728,13.34560871,1614.018188,2887.818115,7.236363411,7.864022732,90.38182068,24.06515503,10.52727318,4.529745102,5.254545689,2.705382347,72.50909424,30.78753471,13.52727318,7.141643047,23.98181725,12.65155792
9,3920,320,0,1,1366.25,1025.67041,11.090909,10.71162796,1366.25,3073.67041,8.272727013,7.534883499,43.875,37.78604507,24.51136398,19.71627998,6.284090996,6.52558136,24.01136398,23.23720932,8.159090996,8.52558136,26.73863602,24.45116234
10,4514,914,0,1,1330.666626,946.2111206,15.85555553,13.97938156,1330.666626,2994.211182,9.277777672,9.242267609,28.79999924,38.04639053,44.6222229,34.2319603,9.155555725,9.628866196,9.744444847,13.87628841,4.900000095,6.020618439,39.95555496,30.55670166
11,5087,1487,0,1,1331.857178,957.7894897,9.879699707,6.669030666,1331.857178,3005.789551,3.360902309,3.607564926,9,9.498818398,28.37594032,15.21276569,6.917293072,4.891252995,4.518796921,5.172576904,4.112782001,3.985815525,33.48120117,16.4302597
12,5584,468,1,0,416.8690491,1948.297607,17.3214283,14.83005619,2464.869141,1948.297607,2.666666746,4.429775238,0.047619049,1.789325833,37.5357132,24.58567429,5.273809433,4.077247143,0.273809522,2.009831429,1.75,2.681179762,31.5,17.29775238
13,6034,918,1,0,605.0197144,1667.296021,17.46052551,9.834645271,2653.019775,1667.296021,5.638157845,4.259842396,0.013157895,1.454443216,40.42763138,15.88976383,8.868420601,3.308211565,1.927631617,7.835770607,3.914473772,4.637795448,41.4736824,16.22047234
