Event #,Cell_ID,label,Tile_row,Tile_col,centroid-0,centroid-1,mean_intensity_PD-1_nuc,mean_intensity_PD-1_cell,Global_y,Global_x,mean_intensity_PD-L1_nuc,mean_intensity_PD-L1_cell,mean_intensity_CD68_nuc,mean_intensity_CD68_cell,mean_intensity_CD3_nuc,mean_intensity_CD3_cell,mean_intensity_FoxP3_nuc,mean_intensity_FoxP3_cell,mean_intensity_Iba-1_nuc,mean_intensity_Iba-1_cell,mean_intensity_CD8_nuc,mean_intensity_CD8_cell,mean_intensity_CD4_nuc,mean_intensity_CD4_cell
1,120,121,0,0,1420.09729,1781.06189,17.72566414,11.56851864,1420.09729,1781.06189,9.061946869,5.827777863,54.02655029,31.30185127,9.52212429,8.587037086,4.858407021,5.057407379,35.8053093,26.46481514,8.353981972,6.168518543,12.32743359,9.877778053
2,345,346,0,0,1699.721191,1022.02887,12.92307663,18.40077782,1699.721191,1022.02887,4.298077106,5.613489151,1.451923132,2.252918243,36.88461685,11.15175056,13.61538506,4.426718712,3.730769157,4.507133484,5.605769157,3.977950811,2.211538553,2.140077829
3,419,420,0,0,1231.895386,1527.12793,16.6860466,12.78093338,1231.895386,1527.12793,9.337209702,6.472616673,35.3953476,19.66937065,10.91860485,5.965517044,3.697674513,3.488843918,42.09302139,29.1359024,8.441860199,7.324543476,8.209301949,6.600405693
4,521,40,1,1,1695.294556,1999.573608,6.844961166,5.476521969,3743.294678,4047.57373,6.945736408,4.40173912,3.496124029,1.904347777,9.697674751,5.29913044,3.503875971,1.52347827,0.232558146,0.137391299,1.434108496,1.126956463,1.085271358,0.699130416
5,551,70,1,1,694.0724487,1016.028992,8.144927979,8.976588249,2742.07251,3064.029053,7.10144949,5.926421642,32.01449203,17.51672173,13.98550701,5.252508163,3.550724745,3.135451555,41.26086807,30.40300941,9.028985977,7.083611965,12.942029,8.635451317
6,1125,644,1,1,1271.543457,564.9674072,10.36956501,11.8540926,3319.543457,2612.967285,8.793478012,5.74377203,69.47826385,65.31850433,11.03260899,10.91103172,5.956521511,6.701067448,91.46739197,93.20285034,11.26086998,14.2081852,13.66304302,26.85943031
7,2018,1537,1,1,832.7543945,135.8684235,12.4912281,11.09743595,2880.754395,2183.868408,10.57017517,6.400000095,34.93859482,24.6461544,12.9912281,6.664102554,3.622807026,4.321794987,55.62280655,54.05128098,10.66666698,11.08461571,13.1403513,14.87051296
8,3645,45,0,1,333.7916565,476.5833435,2.027777672,2.660784245,333.7916565,2524.583252,1.458333373,2.452941179,2.013888836,7.25686264,14.66666698,8.37843132,2.555555582,3.064705849,43.65277863,32.39608002,5.986111164,3.411764622,3.680555582,2.650980473
9,3658,58,0,1,734.5734253,541.5244751,6.916083813,4.286284924,734.5734253,2589.524414,4.22377634,2.475366116,1.503496528,1.021304965,10.32167816,4.880159855,7.958042145,5.41145134,0.685314655,1.113182425,0.307692319,1.089214325,2,0.826897442
10,3767,167,0,1,1107.833374,892.430542,14.76388931,11.10792923,1107.833374,2940.430664,5.569444656,5.103524208,29.44444466,24.49118996,11.01388931,5.43392086,2.638888836,3.279735565,18.375,9.881057739,6.097222328,4.581497669,10.11111069,9.460352898
11,3859,259,0,1,319.4018555,509.5046692,6.551402092,6.154471397,319.4018555,2557.504639,5.252336502,5.221544743,28.57009315,18.57520294,9.663551331,9.455284119,4.186915874,3.86382103,18.42990685,15.12601662,7.672897339,5.831300735,4.757009506,3.615853548
12,3867,267,0,1,1376.95459,1020.121216,8.696969986,9.25,1376.95459,3068.121094,7.590909004,6.921875,26.18181801,29.3984375,10.27272701,12.2109375,2.818181753,4.3046875,36.30303192,37.078125,8.863636017,9.2890625,8.257575989,9.2578125
13,3988,388,0,1,288.8811951,599.5841675,11.38613892,9.592660904,288.8811951,2647.584229,10.88118839,6.616513729,2.227722883,3.366972446,10.55445576,10.09541321,6.801980019,3.381651402,0.405940592,1.90275228,0.168316826,1.100917459,0.356435657,1.100917459
14,4089,489,0,1,1503.948242,1048.344849,13.39655209,13.989501,1503.948242,3096.344727,11.8103447,14.3202095,144.4655151,85.72966003,12.65517235,7.43832016,6.189655304,5.055118084,30.8103447,27.87926483,8.77586174,7.412073612,15.37931061,21.35170555
15,4192,592,0,1,1391.480957,874.3797607,10.94936752,12.87894726,1391.480957,2922.379639,6.784810066,8.986842155,13.82278442,14.71052647,12.21518993,7.036841869,3.025316477,3.763157845,12.1898737,10.91052628,5.101265907,4.465789318,14.65822792,7.623684406
16,4202,602,0,1,1319.381958,1354.347168,19.94444466,14.12050343,1319.381958,3402.347168,9.479166985,5.280575752,46.77777863,21.41546822,15.73611069,5.640287876,7.569444656,3.514388561,59.57638931,25.49460411,12.47916698,6.122302055,16.59722137,11.74640274
17,4262,662,0,1,288.8947449,57.31578827,13.0225563,12.42080402,288.8947449,2105.315674,7.12030077,5.854609966,22.54135323,16.1004734,22.92481232,7.833333492,4.729323387,3.858155966,47.34586334,23.07683182,8.616540909,5.548463345,10.84210491,7.942080498
18,4493,893,0,1,1989.887451,1473.1875,4.324999809,4.074285507,1989.887451,3521.1875,0.275000006,2.697142839,1.5,1.798571467,10.14999962,4.522857189,0.949999988,1.818571448,0,1.604285717,0.0125,1.230000019,0.037500001,0.982857168
19,4780,1180,0,1,1680.202759,958.9650269,10.38461494,8.533127785,1680.202759,3006.965088,9.79020977,9.865947723,65.96503448,45.56548691,12.20979023,5.731895447,2.6783216,2.901386738,101.7412567,46.89060211,11.65734291,7.015408516,18.97202873,16.35747337
20,4988,1388,0,1,1426.856079,1302.28772,4.884891987,7.579545498,1426.856079,3350.287842,13.52517986,10.21022701,2.287769794,5.818181992,11.20863342,12.89204502,0.25179857,1.011363626,3.992805719,6.022727489,2.223021507,2.676136255,3.906474829,5.4375
21,5760,644,1,0,560.5149536,1481.873169,16.80596924,12.53712273,2608.514893,1481.873169,12.05970192,7.142691612,93.38059998,49.70301437,11.38805962,7.103248119,3.626865625,4.358468533,29.41044807,26.21113777,6.917910576,5.991879463,13.014925,20.48955917
22,6027,911,1,0,571.4971924,1558.016724,10.52513981,9.866962433,2619.497314,1558.016724,7.74301672,6.264966965,67.19553375,50.5388031,15.44134045,9.227272987,3.52513957,4.847006798,68.12290192,47.04323578,9.782122612,8.751663208,15.07821274,16.16962242
