Event #,Cell_ID,label,Tile_row,Tile_col,centroid-0,centroid-1,mean_intensity_PD-1_nuc,mean_intensity_PD-1_cell,Global_y,Global_x,mean_intensity_PD-L1_nuc,mean_intensity_PD-L1_cell,mean_intensity_CD68_nuc,mean_intensity_CD68_cell,mean_intensity_CD3_nuc,mean_intensity_CD3_cell,mean_intensity_FoxP3_nuc,mean_intensity_FoxP3_cell,mean_intensity_Iba-1_nuc,mean_intensity_Iba-1_cell,mean_intensity_CD8_nuc,mean_intensity_CD8_cell,mean_intensity_CD4_nuc,mean_intensity_CD4_cell
1,81,82,0,0,1405.18396,1810.862061,18.90804672,15.11733341,1405.18396,1810.862061,7.356321812,4.869333267,25.4597702,32.65066528,2.816092014,3.130666733,2.402298927,2.512000084,8.080459595,11.95733356,6.26436758,5.362666607,26.28735542,21.73600006
2,174,175,0,0,1294.738892,2038.255615,14.64999962,13.68275833,1294.738892,2038.255615,5.138888836,5.220689774,12.10000038,8.542529106,0.800000012,1.967816114,0.827777803,1.890804648,0.516666651,4.556321621,2.261111021,2.87356329,2.416666746,3.048275948
3,219,220,0,0,1202.168701,1832.108398,28.90361404,25.96226501,1202.168701,1832.108398,5.216867447,5.792452812,26.65060234,35.84276581,7.156626701,7.169811249,1.879518032,3.61635232,7.843373299,15.05660343,4.518072128,6.320754528,15.03614426,19.79874229
4,508,27,1,1,1812.459961,742.5200195,10.46000004,11.12954521,3860.459961,2790.52002,5.039999962,2.929545403,10.69999981,6.370454311,0.239999995,1.7590909,1.24000001,1.136363626,0.800000012,1.756818175,3.700000048,2.281818151,4.539999962,3.981818199
5,611,130,1,1,1903.320557,1148.974365,6.358974457,6.722222328,3951.320557,3196.974365,5.205128193,3.5022223,11.80769253,27.04888916,1.358974338,1.686666608,0.897435904,1.768888831,4.43589735,20.37999916,4.346153736,5.471111298,17.14102554,30.88888931
6,617,136,1,1,702.0652466,184.8043518,27.23913002,43.80124283,2750.065186,2232.804443,11.28260899,7.596273422,15.86956501,18.71117973,3.521739244,3.580745459,2.391304255,3.164596319,2.173913002,7.316770077,2.543478251,4.068323135,6.782608509,7.655279636
7,631,150,1,1,364.4729614,499.0675659,21.74324417,11.36167145,2412.4729,2547.067627,14.48648643,12.96829987,13.72972965,9.008645058,2.121621609,4.540345669,2.540540457,2.489913464,8.689188957,4.492795467,5.175675869,4.051873207,6.283783913,4.373198986
8,704,223,1,1,1298.492554,31.94029808,97.41790771,61.9356842,3346.492432,2079.940186,13.56716442,9.224066734,10.86567211,6.997925282,1.149253726,2.719917059,3.940298557,2.896265507,0.597014904,1.329875469,4.776119232,3.713692904,8.313432693,5.4688797
9,802,321,1,1,389.4827576,472.2930908,38.77586365,17.95238113,2437.482666,2520.293213,11.03448296,8.517857552,15.91379356,18.5535717,1.534482718,4.204365253,1.724137902,1.93650794,2.344827652,4.75,3.775861979,3.380952358,5.948276043,6.142857075
10,821,340,1,1,1975.194336,1237.508545,11.77142811,12.05912209,4023.194336,3285.508545,9.925714493,5.619932652,9.548571587,7.30405426,0.794285715,1.329391837,1.925714254,1.717905402,0.468571424,1.449324369,3.011428595,2.398648739,4.474285603,5.484797478
