Event #,Cell_ID,label,Tile_row,Tile_col,centroid-0,centroid-1,mean_intensity_PD-1_nuc,mean_intensity_PD-1_cell,Global_y,Global_x,mean_intensity_PD-L1_nuc,mean_intensity_PD-L1_cell,mean_intensity_CD68_nuc,mean_intensity_CD68_cell,mean_intensity_CD3_nuc,mean_intensity_CD3_cell,mean_intensity_FoxP3_nuc,mean_intensity_FoxP3_cell,mean_intensity_Iba-1_nuc,mean_intensity_Iba-1_cell,mean_intensity_CD8_nuc,mean_intensity_CD8_cell,mean_intensity_CD4_nuc,mean_intensity_CD4_cell
1,78,79,0,0,1867.532471,1034.298706,38.18181992,35.75216293,1867.532471,1034.298706,20.09090996,11.47550392,10.02597427,13.02737713,2.441558361,3.066282511,1.428571463,2.492795467,94.50649261,62.12968445,10.54545498,9.78098011,29.25974083,17.00432205
2,280,281,0,0,1616.564087,985.3931885,25,17.57579422,1616.564087,985.3931885,27.84615326,10.96210289,12.22222233,8.405867577,4.589743614,3.408313036,2.128205061,2.222493887,88.16239166,38.83007431,14.2991457,7.99022007,10.51282024,9.449877739
3,423,424,0,0,1322.005005,1346.442261,21.25125694,14.1082983,1322.005005,1346.442261,22.25125694,9.887482643,22.67839241,14.67088604,3.100502491,2.068917036,2.155778885,2.189873457,85.68843842,50.39381027,14.31658268,10.1645565,11.0703516,8.084387779
4,3730,130,0,1,1139.782593,1187.991333,44.18260956,37.01492691,1139.782593,3235.991211,25.39999962,25.94882774,15.97391319,12.37313461,5.739130497,5.968017101,6.043478489,4.942430496,27.06956482,14.35607719,11.75652218,8.194029808,10.60869598,6.782516003
5,3753,153,0,1,1062.320557,1211.064087,43.0256424,35.67379761,1062.320557,3259.064209,31.71794891,31.8288765,19.07692337,13.55347633,5.307692528,5.406416893,7.038461685,5.647058964,19.88461494,10.33957195,11.19230747,7.542780876,6.397435665,4.288770199
6,3898,298,0,1,1368.541016,939.852478,27.5409832,51.13920975,1368.541016,2987.852539,20.16393471,27.85846901,12.09836102,12.68213463,3.688524485,4.129930496,1.885245919,3.76334095,13.68852425,6.533642769,6.1147542,5.596287727,2.655737638,3.248259783
7,3941,341,0,1,160.140625,168.453125,21.125,13.84131718,160.140625,2216.453125,30.265625,11.86526966,13.078125,15.18562889,2.390625,2.511976004,1.03125,2.562874317,128.34375,58.58982086,12.515625,8.068861961,9.625,8.413173676
8,4111,511,0,1,1515.771851,149.2483215,17.00671196,9.170695305,1515.771851,2197.248291,21.80536842,9.20694828,18.28187943,12.5604229,3.993288517,3.120846033,1.107382536,1.808157086,90.68456268,55.53625488,12.12751675,9.040785789,13.63087273,12.78247738
9,4203,603,0,1,935.4189453,1230.067627,108.6486511,87.31469727,935.4189453,3278.067627,27.89189148,33.57556915,26.98648643,13.50931644,5.189188957,4.016562939,4.851351261,3.579710245,18.89189148,8.904762268,8.905405045,5.111801147,5.94594574,4.645962715
10,4268,668,0,1,700.3894653,876.8105469,142.0105286,125.2537003,700.3894653,2924.810547,23.48421097,19.35000038,24.81052589,12.31111145,7.378947258,4.635185242,2.452631474,2.679629564,10.34736824,4.520370483,3.568421125,3.659259319,4.168421268,4.437036991
