Event #,Cell_ID,label,Tile_row,Tile_col,centroid-0,centroid-1,mean_intensity_PD-1_nuc,mean_intensity_PD-1_cell,Global_y,Global_x,mean_intensity_PD-L1_nuc,mean_intensity_PD-L1_cell,mean_intensity_CD68_nuc,mean_intensity_CD68_cell,mean_intensity_CD3_nuc,mean_intensity_CD3_cell,mean_intensity_FoxP3_nuc,mean_intensity_FoxP3_cell,mean_intensity_Iba-1_nuc,mean_intensity_Iba-1_cell,mean_intensity_CD8_nuc,mean_intensity_CD8_cell,mean_intensity_CD4_nuc,mean_intensity_CD4_cell
1,3,4,0,0,1691.153809,1844.589722,11.02564144,9.17383194,1691.153809,1844.589722,9.5,5.928971767,15.30769253,15.07476616,2.871794939,3.15327096,1.782051325,2.218691587,96.51281738,50.16074753,13.65384579,8.41308403,13.2435894,10.57383156
2,7,8,0,0,1393.868408,1408.434204,12.94736862,12.74963379,1393.868408,1408.434204,6.381578922,6.024890423,47.34210587,21.6998539,7.105263233,6.428989887,6.513157845,4.458272457,93.11842346,46.52562332,18.2631588,10.61493397,10.03947353,6.306003094
3,23,24,0,0,432.8125,1928.044678,23.9285717,16.51788521,432.8125,1928.044678,7.633928776,5.844479084,15.8125,22.86003113,3.089285612,5.150855541,3.375,3.911353111,19.3035717,17.35614395,5.821428776,5.113530159,6.821428776,6.878693581
4,35,36,0,0,1922.771118,1130.879517,20.60240936,15.87411594,1922.771118,1130.879517,12.96385574,8.799151421,11.30120468,6.695898056,3,3.094766617,2.277108431,2.340877056,75.89156342,36.52475357,11.73493958,7.534653664,10.43373489,7.009901047
5,46,47,0,0,1834.627441,1116.362793,16.59803963,16.8645668,1834.627441,1116.362793,10.59803963,9.004724503,20.11764717,12.40629959,2.647058725,3.626771688,3.225490093,3.40157485,110.7450943,53.0771637,13.44117641,8.625196457,18.85294151,11.84724426
6,50,51,0,0,1306.38269,1349.765381,37.25925827,25.50296974,1306.38269,1349.765381,13,6.37227726,21.39506149,10.88316822,2.345679045,1.77029705,1.740740776,1.475247502,50.3580246,31.58415794,10.51851845,6.651484966,13.61728382,8.556435585
7,52,53,0,0,1922.403198,962.887085,28.40322495,21.0645752,1922.403198,962.887085,15.11290359,9.383764267,28.8064518,16.15313721,8.25806427,4.625461102,3.564516068,3.662361622,79.62903595,49.41881943,14.48387051,9.896678925,24.90322495,16.85424423
8,65,66,0,0,1047.280029,1576.453369,13.97333336,11.26346397,1047.280029,1576.453369,10.15999985,6.301310062,18.61333275,5.615720749,3.039999962,3.219796181,2.053333282,2.253275156,31.84000015,12.04657936,7.920000076,4.356623173,11.09333324,4.850072861
9,74,75,0,0,1754.728271,1801.239136,12.54347801,9.920078278,1754.728271,1801.239136,8.434782982,5.830409527,10.21739101,9.387914658,1.673913002,2.970760345,1.347826123,2.113060474,47.34782791,31.85964966,8.608695984,6.38011694,21.652174,12.94931793
10,93,94,0,0,1438.986084,1519.708374,19.97222137,12.88662815,1438.986084,1519.708374,7.013888836,6.084302425,10.83333302,7.167150974,1.597222209,3.106104612,4.027777672,2.85901165,25.08333397,22.7630806,7.416666508,5.2514534,9.569444656,5.26453495
11,110,111,0,0,1955.467041,815.8571167,27.92307663,23.96634674,1955.467041,815.8571167,19.09340668,12.36378193,17.99450493,10.6217947,3.906593323,3.516025543,3.346153736,2.958333254,63.39560318,36.44711685,17.7142849,12.52884579,17.18131828,10.42628193
12,124,125,0,0,1594.731201,1858.817261,5.086021423,7.524456501,1594.731201,1858.817261,4.763441086,4.669836998,14.50537682,6.020380497,0.741935492,2.743206501,0.569892466,1.892663002,14.2903223,6.172554493,3.870967627,3.100543499,1.430107474,1.857336998
