Event #,Cell_ID,label,Tile_row,Tile_col,centroid-0,centroid-1,mean_intensity_PD-1_nuc,mean_intensity_PD-1_cell,Global_y,Global_x,mean_intensity_PD-L1_nuc,mean_intensity_PD-L1_cell,mean_intensity_CD68_nuc,mean_intensity_CD68_cell,mean_intensity_CD3_nuc,mean_intensity_CD3_cell,mean_intensity_FoxP3_nuc,mean_intensity_FoxP3_cell,mean_intensity_Iba-1_nuc,mean_intensity_Iba-1_cell,mean_intensity_CD8_nuc,mean_intensity_CD8_cell,mean_intensity_CD4_nuc,mean_intensity_CD4_cell
1,2,3,0,0,1950.52063,1896.396729,66.66941833,30.9375,1950.52063,1896.396729,24.49586868,12.484375,1.495867729,1.958333373,0.330578506,1.614583373,1.628099203,2.002604246,0.471074373,1.736979127,3.363636255,3.130208254,2,1.958333373
2,18,19,0,0,1517.336304,1419.990967,142.6181793,44.03171921,1517.336304,1419.990967,38.29090881,13.22036743,1.136363626,5.435726166,2.581818104,3.687813044,0.9909091,2.482470751,1.727272749,7.811352253,2.527272701,3.744574308,2.063636303,5.474123478
3,24,25,0,0,651.9124756,2021.362549,112.6750031,44.47450256,651.9124756,2021.362549,53.28749847,23.88248253,1.587499976,2.124168396,4.712500095,3.77605319,1.350000024,1.962306023,1.174999952,2.729490042,2.299999952,2.676275015,1.325000048,1.718403578
4,29,30,0,0,2042.49292,758.4084473,27.57746506,28.38736916,2042.49292,758.4084473,21.33802795,16.23999977,3.084506989,3.309473753,4.676056385,3.894736767,2.323943615,2.83157897,0.676056325,1.564210534,3.281690121,3.425263166,2.028168917,2.275789499
5,31,32,0,0,1746.199951,1038.72168,120.1565247,52.67049789,1746.199951,1038.72168,52.56521606,22.69476318,1.930434823,2.821200609,2.878260851,3.453384399,2.286956549,2.904214621,0.913043499,2.143039703,3.434782505,3.70498085,3.321739197,7.154533863
6,56,57,0,0,2043.443481,893.3826294,116.0347824,69.90723419,2043.443481,893.3826294,21.06086922,14.80704975,3.973912954,4.864563942,2.052173853,2.621521235,2.947826147,2.823747635,2.565217495,5.71799612,4.730434895,4.523190975,5.808695793,4.98515749
7,57,58,0,0,1612.433594,472.6902771,46.1946907,18.69792938,1612.433594,472.6902771,25.11504364,9.116930962,2.247787714,4.26431179,1.902654886,2.421437263,8.185840607,3.925700426,8.070796013,7.132764816,7.300884724,4.230206966,7.469026566,3.942752838
8,62,63,0,0,1214.790527,1525.333374,80.20952606,39.37121201,1214.790527,1525.333374,22.00952339,11.26515198,3.942857027,6.656565666,1.619047642,2.330808163,2.504761934,2.694444418,7.199999809,10.71464634,4.990476131,4.805555344,4.095238209,4.441919327
9,68,69,0,0,1638.511475,1501.442505,136.4367828,45.08094788,1638.511475,1501.442505,46.67816162,17.03113365,3.482758522,4.891656399,1.442528725,2.452054739,1.758620739,2.320049763,5.298850536,9.778330803,3.856321812,3.88916564,2.419540167,2.272727251
10,70,71,0,0,1618.182617,1390.161865,174.066391,98.2978363,1618.182617,1390.161865,47.48547745,26.44259644,1.526970983,2.683860302,0.502074718,1.921797037,1.377593398,2.227953434,0.93775934,2.362728834,2.780082941,3.35108161,2.20331955,2.337770462
